CB,A1,A2,A3,DM,NB,PA,SC,SI,All
All,3990,41567,12432,1513,3153,542,297,173,63667
105,148,6166,838,43,44,68,16,5,7328
108,106,2189,763,13,22,13,6,3,3115
102,129,2085,524,9,44,22,9,1,2823
101,97,1942,381,5,27,38,15,2,2507
106,58,1871,340,13,27,9,1,0,2319
107,93,1704,473,4,9,14,2,0,2299
104,64,1514,478,51,65,23,5,3,2203
301,220,945,485,57,127,31,29,8,1902
302,144,1136,456,21,70,15,13,3,1858
103,77,1128,345,13,29,29,11,3,1635
407,150,776,240,122,166,19,4,14,1491
303,165,716,419,37,123,7,18,4,1489
306,168,808,343,16,58,5,21,3,1422
414,108,812,201,51,159,6,0,3,1340
502,79,668,148,81,192,7,2,20,1197
401,90,581,337,49,82,10,8,7,1164
412,90,663,193,48,115,7,0,7,1123
503,57,623,128,49,128,11,0,13,1009
413,104,756,69,13,43,7,0,5,997
